MFR URL,Ref URL 1,Ref URL 2,Ref URL 3,Ref URL 4,Ref URL 5,PART_NUMBER,Dept,Class,Fine,SKU - MY_PART_NUMBER,Mfg_Part_Num,Part_Desc,E1_Brand,Unilog_Brand,DIB_Brand,Part_Manuf,MANUFACTURER_NAME,BRAND_NAME,TRADE_NAME,MANUFACTURER_PART_NUMBER,ALTERNATE_PART_NUMBER,Classpath,MOBILE_DESC,INVOICE_DESC,SHORT_DESC,LONG_DESC1,RETAIL_DESC,MARKETING_DESCRIPTION,ITEM_FEATURES_1,ITEM_FEATURES_2,ITEM_FEATURES_3,ITEM_FEATURES_4,ITEM_FEATURES_5,ITEM_FEATURES_6,ITEM_FEATURES_7,ITEM_FEATURES_8,ITEM_FEATURES_9,ITEM_FEATURES_10,ITEM_FEATURES_11,ITEM_FEATURES_12,ITEM_FEATURES_13,ITEM_FEATURES_14,ITEM_FEATURES_15,ITEM_FEATURES_16,ITEM_FEATURES_17,ITEM_FEATURES_18,ITEM_FEATURES_19,ITEM_FEATURES_20,With,Standard/Approvals,Prop 65,Application,Includes,Product Name,ATTRIBUTE_LABEL 1,ATTRIBUTE_VALUE 1,ATTRIBUTE_UOM 1,ATTRIBUTE_LABEL 2,ATTRIBUTE_VALUE 2,ATTRIBUTE_UOM 2,ATTRIBUTE_LABEL 3,ATTRIBUTE_VALUE 3,ATTRIBUTE_UOM 3,ATTRIBUTE_LABEL 4,ATTRIBUTE_VALUE 4,ATTRIBUTE_UOM 4,ATTRIBUTE_LABEL 5,ATTRIBUTE_VALUE 5,ATTRIBUTE_UOM 5,ATTRIBUTE_LABEL 6,ATTRIBUTE_VALUE 6,ATTRIBUTE_UOM 6,ATTRIBUTE_LABEL 7,ATTRIBUTE_VALUE 7,ATTRIBUTE_UOM 7,ATTRIBUTE_LABEL 8,ATTRIBUTE_VALUE 8,ATTRIBUTE_UOM 8,ATTRIBUTE_LABEL 9,ATTRIBUTE_VALUE 9,ATTRIBUTE_UOM 9,ATTRIBUTE_LABEL 10,ATTRIBUTE_VALUE 10,ATTRIBUTE_UOM 10,ATTRIBUTE_LABEL 11,ATTRIBUTE_VALUE 11,ATTRIBUTE_UOM 11,ATTRIBUTE_LABEL 12,ATTRIBUTE_VALUE 12,ATTRIBUTE_UOM 12,ATTRIBUTE_LABEL 13,ATTRIBUTE_VALUE 13,ATTRIBUTE_UOM 13,ATTRIBUTE_LABEL 14,ATTRIBUTE_VALUE 14,ATTRIBUTE_UOM 14,ATTRIBUTE_LABEL 15,ATTRIBUTE_VALUE 15,ATTRIBUTE_UOM 15,ATTRIBUTE_LABEL 16,ATTRIBUTE_VALUE 16,ATTRIBUTE_UOM 16,ATTRIBUTE_LABEL 17,ATTRIBUTE_VALUE 17,ATTRIBUTE_UOM 17,ATTRIBUTE_LABEL 18,ATTRIBUTE_VALUE 18,ATTRIBUTE_UOM 18,ATTRIBUTE_LABEL 19,ATTRIBUTE_VALUE 19,ATTRIBUTE_UOM 19,ATTRIBUTE_LABEL 20,ATTRIBUTE_VALUE 20,ATTRIBUTE_UOM 20,ATTRIBUTE_LABEL 21,ATTRIBUTE_VALUE 21,ATTRIBUTE_UOM 21,ATTRIBUTE_LABEL 22,ATTRIBUTE_VALUE 22,ATTRIBUTE_UOM 22,ATTRIBUTE_LABEL 23,ATTRIBUTE_VALUE 23,ATTRIBUTE_UOM 23,ATTRIBUTE_LABEL 24,ATTRIBUTE_VALUE 24,ATTRIBUTE_UOM 24,ATTRIBUTE_LABEL 25,ATTRIBUTE_VALUE 25,ATTRIBUTE_UOM 25,ATTRIBUTE_LABEL 26,ATTRIBUTE_VALUE 26,ATTRIBUTE_UOM 26,ATTRIBUTE_LABEL 27,ATTRIBUTE_VALUE 27,ATTRIBUTE_UOM 27,ATTRIBUTE_LABEL 28,ATTRIBUTE_VALUE 28,ATTRIBUTE_UOM 28,ATTRIBUTE_LABEL 29,ATTRIBUTE_VALUE 29,ATTRIBUTE_UOM 29,ATTRIBUTE_LABEL 30,ATTRIBUTE_VALUE 30,ATTRIBUTE_UOM 30,ATTRIBUTE_LABEL 31,ATTRIBUTE_VALUE 31,ATTRIBUTE_UOM 31,ATTRIBUTE_LABEL 32,ATTRIBUTE_VALUE 32,ATTRIBUTE_UOM 32,ATTRIBUTE_LABEL 33,ATTRIBUTE_VALUE 33,ATTRIBUTE_UOM 33,ATTRIBUTE_LABEL 34,ATTRIBUTE_VALUE 34,ATTRIBUTE_UOM 34,ATTRIBUTE_LABEL 35,ATTRIBUTE_VALUE 35,ATTRIBUTE_UOM 35,ATTRIBUTE_LABEL 36,ATTRIBUTE_VALUE 36,ATTRIBUTE_UOM 36,ATTRIBUTE_LABEL 37,ATTRIBUTE_VALUE 37,ATTRIBUTE_UOM 37,ATTRIBUTE_LABEL 38,ATTRIBUTE_VALUE 38,ATTRIBUTE_UOM 38,ATTRIBUTE_LABEL 39,ATTRIBUTE_VALUE 39,ATTRIBUTE_UOM 39,ATTRIBUTE_LABEL 40,ATTRIBUTE_VALUE 40,ATTRIBUTE_UOM 40,ATTRIBUTE_LABEL 41,ATTRIBUTE_VALUE 41,ATTRIBUTE_UOM 41,ATTRIBUTE_LABEL 42,ATTRIBUTE_VALUE 42,ATTRIBUTE_UOM 42,ATTRIBUTE_LABEL 43,ATTRIBUTE_VALUE 43,ATTRIBUTE_UOM 43,ATTRIBUTE_LABEL 44,ATTRIBUTE_VALUE 44,ATTRIBUTE_UOM 44,ATTRIBUTE_LABEL 45,ATTRIBUTE_VALUE 45,ATTRIBUTE_UOM 45,ATTRIBUTE_LABEL 46,ATTRIBUTE_VALUE 46,ATTRIBUTE_UOM 46,ATTRIBUTE_LABEL 47,ATTRIBUTE_VALUE 47,ATTRIBUTE_UOM 47,ATTRIBUTE_LABEL 48,ATTRIBUTE_VALUE 48,ATTRIBUTE_UOM 48,ATTRIBUTE_LABEL 49,ATTRIBUTE_VALUE 49,ATTRIBUTE_UOM 49,ATTRIBUTE_LABEL 50,ATTRIBUTE_VALUE 50,ATTRIBUTE_UOM 50,UPC,EAN,GTIN,UNSPSC,Warranty,List Price,Selling Qty,Selling UOM,Standard Packaging Information,LENGTH,LENGTH_UOM,HEIGHT,HEIGHT_UOM,WIDTH,WIDTH_UOM,WEIGHT,WEIGHT_UOM,VOLUME,VOLUME_UOM,Product Image,Alternate Image 1,Alternate Image 2,Alternate Image 3,Alternate Image 4,SDS,SDS_1,Warranty Information,Catalog,Specification Sheet,Instruction/Installation Manual,Service Manual,Owners/User Manual,Line Drawing,MTR,RoHS,Full Engineering Drawing,Energy Star Guide,Technical Bulletin,Submittal,Compatibility Chart,Size Chart,Product Label/Insert,Video Link,Video Link 1,Country Of Origin,Discontinued,Actual Image (Yes/No) 
,,,,,,20000046,Abrasives,Coated Abrasives,Sanding Discs,1500046,49-94-1915,"49-94-1915 Milw 6-1/2""x1/8""x5/8"" DKO Masonry Cut Off Disc",Generic / Unbranded,Generic / Unbranded,Generic / Unbranded,Milwaukee Electric Tool,Milwaukee Electric Tool,Generic / Unbranded,,49-94-1915,,Industrial Supplies>Abrasives>Coated Abrasives>Sanding Discs,49-94-1915 Sanding Discs,49-94-1915 Sanding Discs,"Milwaukee Electric Tool 49-94-1915 Sanding Discs - Color: Standard, Material: St","Milwaukee Electric Tool 49-94-1915 Sanding Discs. Manufacturer Part Number: 49-94-1915. Features & Specifications: Color: Standard, Material: Steel.","Milwaukee Electric Tool 49-94-1915 Sanding Discs. Color: Standard, Material: Steel","High quality Milwaukee Electric Tool 49-94-1915 Sanding Discs. Built to industry standards. Specifications: Color: Standard, Material: Steel.",,,,,,,,,,,,,,,,,,,,,,,,,,Sanding Discs,Color,Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
,,,,,,20000047,Abrasives,Coated Abrasives,Sanding Discs,1500047,49-94-1920,"49-94-1920 Milw 7""x1/8""x5/8"" DKO Masonry Cut Off Disc",Generic / Unbranded,Generic / Unbranded,Generic / Unbranded,Milwaukee Electric Tool,Milwaukee Electric Tool,Generic / Unbranded,,49-94-1920,,Industrial Supplies>Abrasives>Coated Abrasives>Sanding Discs,49-94-1920 Sanding Discs,49-94-1920 Sanding Discs,"Milwaukee Electric Tool 49-94-1920 Sanding Discs - Color: Standard, Material: St","Milwaukee Electric Tool 49-94-1920 Sanding Discs. Manufacturer Part Number: 49-94-1920. Features & Specifications: Color: Standard, Material: Steel.","Milwaukee Electric Tool 49-94-1920 Sanding Discs. Color: Standard, Material: Steel","High quality Milwaukee Electric Tool 49-94-1920 Sanding Discs. Built to industry standards. Specifications: Color: Standard, Material: Steel.",,,,,,,,,,,,,,,,,,,,,,,,,,Sanding Discs,Color,Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
,,,,,,20000048,Abrasives,Coated Abrasives,Sanding Discs,1500048,49-94-1925,"49-94-1925 Milw 10""x1/8""x5/8"" Masonry Cut Off Disc",Generic / Unbranded,Generic / Unbranded,Generic / Unbranded,Milwaukee Electric Tool,Milwaukee Electric Tool,Generic / Unbranded,,49-94-1925,,Industrial Supplies>Abrasives>Coated Abrasives>Sanding Discs,49-94-1925 Sanding Discs,49-94-1925 Sanding Discs,"Milwaukee Electric Tool 49-94-1925 Sanding Discs - Color: Standard, Material: St","Milwaukee Electric Tool 49-94-1925 Sanding Discs. Manufacturer Part Number: 49-94-1925. Features & Specifications: Color: Standard, Material: Steel.","Milwaukee Electric Tool 49-94-1925 Sanding Discs. Color: Standard, Material: Steel","High quality Milwaukee Electric Tool 49-94-1925 Sanding Discs. Built to industry standards. Specifications: Color: Standard, Material: Steel.",,,,,,,,,,,,,,,,,,,,,,,,,,Sanding Discs,Color,Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
,,,,,,20000049,Abrasives,Coated Abrasives,Sanding Discs,1500049,49-94-1935,"49-94-1935 Milw 12""x1/8""x1"" Masonry Cut Off Disc",Generic / Unbranded,Generic / Unbranded,Generic / Unbranded,Milwaukee Electric Tool,Milwaukee Electric Tool,Generic / Unbranded,,49-94-1935,,Industrial Supplies>Abrasives>Coated Abrasives>Sanding Discs,49-94-1935 Sanding Discs,49-94-1935 Sanding Discs,"Milwaukee Electric Tool 49-94-1935 Sanding Discs - Color: Standard, Material: St","Milwaukee Electric Tool 49-94-1935 Sanding Discs. Manufacturer Part Number: 49-94-1935. Features & Specifications: Color: Standard, Material: Steel.","Milwaukee Electric Tool 49-94-1935 Sanding Discs. Color: Standard, Material: Steel","High quality Milwaukee Electric Tool 49-94-1935 Sanding Discs. Built to industry standards. Specifications: Color: Standard, Material: Steel.",,,,,,,,,,,,,,,,,,,,,,,,,,Sanding Discs,Color,Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
,,,,,,20000050,Abrasives,Coated Abrasives,Sanding Discs,1500050,49-94-1940,"49-94-1940 Milw 14""x1/8""x1"" Masonry Cut Off Disc",Generic / Unbranded,Generic / Unbranded,Generic / Unbranded,Milwaukee Electric Tool,Milwaukee Electric Tool,Generic / Unbranded,,49-94-1940,,Industrial Supplies>Abrasives>Coated Abrasives>Sanding Discs,49-94-1940 Sanding Discs,49-94-1940 Sanding Discs,"Milwaukee Electric Tool 49-94-1940 Sanding Discs - Color: Standard, Material: St","Milwaukee Electric Tool 49-94-1940 Sanding Discs. Manufacturer Part Number: 49-94-1940. Features & Specifications: Color: Standard, Material: Steel.","Milwaukee Electric Tool 49-94-1940 Sanding Discs. Color: Standard, Material: Steel","High quality Milwaukee Electric Tool 49-94-1940 Sanding Discs. Built to industry standards. Specifications: Color: Standard, Material: Steel.",,,,,,,,,,,,,,,,,,,,,,,,,,Sanding Discs,Color,Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
,,,,,,20000051,General Merchandise,Unclassified,General Industrial,1500051,49-94-0501,"49-94-0501 Milw 4""x1/4""x5/8"" Metal Grinding Wheel",Generic / Unbranded,Generic / Unbranded,Generic / Unbranded,Milwaukee Electric Tool,Milwaukee Electric Tool,Generic / Unbranded,,49-94-0501,,General Industrial>Unclassified,49-94-0501 General Industrial,49-94-0501 General Industrial,"Milwaukee Electric Tool 49-94-0501 General Industrial - Color: Standard, Materia","Milwaukee Electric Tool 49-94-0501 General Industrial. Manufacturer Part Number: 49-94-0501. Features & Specifications: Color: Standard, Material: Steel.","Milwaukee Electric Tool 49-94-0501 General Industrial. Color: Standard, Material: Steel","High quality Milwaukee Electric Tool 49-94-0501 General Industrial. Built to industry standards. Specifications: Color: Standard, Material: Steel.",,,,,,,,,,,,,,,,,,,,,,,,,,General Industrial,Color,Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
,,,,,,20000052,General Merchandise,Unclassified,General Industrial,1500052,49-94-0503,"49-94-0503 Milw 4-1/2""x1/4""x7/8"" Metal Grinding Wheel",Generic / Unbranded,Generic / Unbranded,Generic / Unbranded,Milwaukee Electric Tool,Milwaukee Electric Tool,Generic / Unbranded,,49-94-0503,,General Industrial>Unclassified,49-94-0503 General Industrial,49-94-0503 General Industrial,"Milwaukee Electric Tool 49-94-0503 General Industrial - Color: Standard, Materia","Milwaukee Electric Tool 49-94-0503 General Industrial. Manufacturer Part Number: 49-94-0503. Features & Specifications: Color: Standard, Material: Steel.","Milwaukee Electric Tool 49-94-0503 General Industrial. Color: Standard, Material: Steel","High quality Milwaukee Electric Tool 49-94-0503 General Industrial. Built to industry standards. Specifications: Color: Standard, Material: Steel.",,,,,,,,,,,,,,,,,,,,,,,,,,General Industrial,Color,Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
,,,,,,20000053,General Merchandise,Unclassified,General Industrial,1500053,49-94-0523,"49-94-0523 Milw 6""x1/4""x7/8"" Metal Grinding Wheel",Generic / Unbranded,Generic / Unbranded,Generic / Unbranded,Milwaukee Electric Tool,Milwaukee Electric Tool,Generic / Unbranded,,49-94-0523,,General Industrial>Unclassified,49-94-0523 General Industrial,49-94-0523 General Industrial,"Milwaukee Electric Tool 49-94-0523 General Industrial - Color: Standard, Materia","Milwaukee Electric Tool 49-94-0523 General Industrial. Manufacturer Part Number: 49-94-0523. Features & Specifications: Color: Standard, Material: Steel.","Milwaukee Electric Tool 49-94-0523 General Industrial. Color: Standard, Material: Steel","High quality Milwaukee Electric Tool 49-94-0523 General Industrial. Built to industry standards. Specifications: Color: Standard, Material: Steel.",,,,,,,,,,,,,,,,,,,,,,,,,,General Industrial,Color,Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
,,,,,,20000054,General Merchandise,Unclassified,General Industrial,1500054,49-94-1955,"49-94-1955 Milw 4-1/2""x1/4""x7/8"" Masonry Grinding Wheel",Generic / Unbranded,Generic / Unbranded,Generic / Unbranded,Milwaukee Electric Tool,Milwaukee Electric Tool,Generic / Unbranded,,49-94-1955,,General Industrial>Unclassified,49-94-1955 General Industrial,49-94-1955 General Industrial,"Milwaukee Electric Tool 49-94-1955 General Industrial - Color: Standard, Materia","Milwaukee Electric Tool 49-94-1955 General Industrial. Manufacturer Part Number: 49-94-1955. Features & Specifications: Color: Standard, Material: Steel.","Milwaukee Electric Tool 49-94-1955 General Industrial. Color: Standard, Material: Steel","High quality Milwaukee Electric Tool 49-94-1955 General Industrial. Built to industry standards. Specifications: Color: Standard, Material: Steel.",,,,,,,,,,,,,,,,,,,,,,,,,,General Industrial,Color,Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
,,,,,,20000055,General Merchandise,Unclassified,General Industrial,1500055,49-94-1965,"49-94-1965 Milw 7""x1/4""x7/8"" Masonry Grinding Wheel",Generic / Unbranded,Generic / Unbranded,Generic / Unbranded,Milwaukee Electric Tool,Milwaukee Electric Tool,Generic / Unbranded,,49-94-1965,,General Industrial>Unclassified,49-94-1965 General Industrial,49-94-1965 General Industrial,"Milwaukee Electric Tool 49-94-1965 General Industrial - Color: Standard, Materia","Milwaukee Electric Tool 49-94-1965 General Industrial. Manufacturer Part Number: 49-94-1965. Features & Specifications: Color: Standard, Material: Steel.","Milwaukee Electric Tool 49-94-1965 General Industrial. Color: Standard, Material: Steel","High quality Milwaukee Electric Tool 49-94-1965 General Industrial. Built to industry standards. Specifications: Color: Standard, Material: Steel.",,,,,,,,,,,,,,,,,,,,,,,,,,General Industrial,Color,Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
,,,,,,20000056,General Merchandise,Unclassified,General Industrial,1500056,49-94-0513,"49-94-0513 Milw 5""x1/4""x7/8"" Metal Grinding Wheel",Generic / Unbranded,Generic / Unbranded,Generic / Unbranded,Milwaukee Electric Tool,Milwaukee Electric Tool,Generic / Unbranded,,49-94-0513,,General Industrial>Unclassified,49-94-0513 General Industrial,49-94-0513 General Industrial,"Milwaukee Electric Tool 49-94-0513 General Industrial - Color: Standard, Materia","Milwaukee Electric Tool 49-94-0513 General Industrial. Manufacturer Part Number: 49-94-0513. Features & Specifications: Color: Standard, Material: Steel.","Milwaukee Electric Tool 49-94-0513 General Industrial. Color: Standard, Material: Steel","High quality Milwaukee Electric Tool 49-94-0513 General Industrial. Built to industry standards. Specifications: Color: Standard, Material: Steel.",,,,,,,,,,,,,,,,,,,,,,,,,,General Industrial,Color,Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
,,,,,,20000057,General Merchandise,Unclassified,General Industrial,1500057,49-94-0533,"49-94-0533 Milw 7""x1/4""x7/8"" Metal Grinding Wheel",Generic / Unbranded,Generic / Unbranded,Generic / Unbranded,Milwaukee Electric Tool,Milwaukee Electric Tool,Generic / Unbranded,,49-94-0533,,General Industrial>Unclassified,49-94-0533 General Industrial,49-94-0533 General Industrial,"Milwaukee Electric Tool 49-94-0533 General Industrial - Color: Standard, Materia","Milwaukee Electric Tool 49-94-0533 General Industrial. Manufacturer Part Number: 49-94-0533. Features & Specifications: Color: Standard, Material: Steel.","Milwaukee Electric Tool 49-94-0533 General Industrial. Color: Standard, Material: Steel","High quality Milwaukee Electric Tool 49-94-0533 General Industrial. Built to industry standards. Specifications: Color: Standard, Material: Steel.",,,,,,,,,,,,,,,,,,,,,,,,,,General Industrial,Color,Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
,,,,,,20000058,General Merchandise,Unclassified,General Industrial,1500058,DFBLBLOMFN01G,DFBLBLOMFN01G Diablo 220 Grit - Flat Edge Sanding Sponge,Diablo,Diablo,Diablo,Freud Inc,Freud Inc,Diablo,,DFBLBLOMFN01G,,General Industrial>Unclassified,Diablo DFBLBLOMFN01G General Industrial,DFBLBLOMFN01G General Industri,"Diablo Freud Inc DFBLBLOMFN01G General Industrial - Color: Standard, Material: S","Diablo Freud Inc DFBLBLOMFN01G General Industrial. Manufacturer Part Number: DFBLBLOMFN01G. Features & Specifications: Color: Standard, Material: Steel.","Diablo Freud Inc DFBLBLOMFN01G General Industrial. Color: Standard, Material: Steel","High quality Diablo Freud Inc DFBLBLOMFN01G General Industrial. Built to industry standards. Specifications: Color: Standard, Material: Steel.",,,,,,,,,,,,,,,,,,,,,,,,,,General Industrial,Color,Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
,,,,,,20000059,General Merchandise,Unclassified,General Industrial,1500059,1700-1PK-BB40,3/4x60' Vinyl Elect Tape,3M,3M,3M,3M Company,3M Company,3M,,1700-1PK-BB40,,General Industrial>Unclassified,3M 1700-1PK-BB40 General Industrial,1700-1PK-BB40 General Industri,"3M 3M Company 1700-1PK-BB40 General Industrial - Color: Standard, Material: Stee","3M 3M Company 1700-1PK-BB40 General Industrial. Manufacturer Part Number: 1700-1PK-BB40. Features & Specifications: Color: Standard, Material: Steel.","3M 3M Company 1700-1PK-BB40 General Industrial. Color: Standard, Material: Steel","High quality 3M 3M Company 1700-1PK-BB40 General Industrial. Built to industry standards. Specifications: Color: Standard, Material: Steel.",,,,,,,,,,,,,,,,,,,,,,,,,,General Industrial,Color,Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
,,,,,,20000060,General Merchandise,Unclassified,General Industrial,1500060,ASH-40-40-04,1.5x1.5x13' Legacy Emseal Tape,Generic / Unbranded,Generic / Unbranded,Generic / Unbranded,Jam Industrial Supply LLC,Jam Industrial Supply LLC,Generic / Unbranded,,ASH-40-40-04,,General Industrial>Unclassified,ASH-40-40-04 General Industrial,ASH-40-40-04 General Industria,"Jam Industrial Supply LLC ASH-40-40-04 General Industrial - Color: Standard, Mat","Jam Industrial Supply LLC ASH-40-40-04 General Industrial. Manufacturer Part Number: ASH-40-40-04. Features & Specifications: Color: Standard, Material: Steel.","Jam Industrial Supply LLC ASH-40-40-04 General Industrial. Color: Standard, Material: Steel","High quality Jam Industrial Supply LLC ASH-40-40-04 General Industrial. Built to industry standards. Specifications: Color: Standard, Material: Steel.",,,,,,,,,,,,,,,,,,,,,,,,,,General Industrial,Color,Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
,,,,,,20000061,Appliances,Large Appliances,Built-In Dishwashers,1500061,KDFM404KPS,KDFM404KPS Dishwasher SS,Generic / Unbranded,Generic / Unbranded,Generic / Unbranded,Appliance Dealers Cooperative,Appliance Dealers Cooperative,Generic / Unbranded,,KDFM404KPS,,Appliances & Consumer Electronics>Kitchen Appliances>Built-In Dishwashers,KDFM404KPS Built-In Dishwashers,KDFM404KPS Built-In Dishwasher,Appliance Dealers Cooperative KDFM404KPS Built-In Dishwashers - Series: Professi,"Appliance Dealers Cooperative KDFM404KPS Built-In Dishwashers. Manufacturer Part Number: KDFM404KPS. Features & Specifications: Series: Professional Series, Number of Wash Cycles: 5, Voltage Rating: 120 V, Amperage Rating: 15 A, Mounting Type: Leg, Sound Level: 47 dBA, Finish: Stainless Steel.","Appliance Dealers Cooperative KDFM404KPS Built-In Dishwashers. Series: Professional Series, Number of Wash Cycles: 5, Voltage Rating: 120 V, Amperage Rating: 15 A, Mounting Type: Leg, Sound Level: 47 dBA, Finish: Stainless Steel","High quality Appliance Dealers Cooperative KDFM404KPS Built-In Dishwashers. Built to industry standards. Specifications: Series: Professional Series, Number of Wash Cycles: 5, Voltage Rating: 120 V, Amperage Rating: 15 A, Mounting Type: Leg, Sound Level: 47 dBA, Finish: Stainless Steel.",,,,,,,,,,,,,,,,,,,,,,,,,,Built-In Dishwashers,Color,Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
